Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13435445,How to Live Safely in a Science Fictional Universe,Charles Yu,"Yu, Charles",James Yaegashi,"=""1449834876""","=""9781449834876""",4,3.39,Recorded Books,Audio CD,7,2011,2010,2011/09/16,2011/09/03,"g-time-travel, z-read-src-un","g-time-travel (#17), z-read-src-un (#24)",read,"Still not convinced that this is a book about time travel, but I still enjoyed it quite a bit",,,,,,0,,,,,
9634967,"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson,"Wilson, Daniel H.",,"=""0385533853""","=""9780385533850""",4,3.66,Doubleday,Audiobook,347,2011,2011,2011/10/03,2011/09/03,"g-post-apocalyptic, z-read-src-un, z-series-1","g-post-apocalyptic (#2), z-read-src-un (#23), z-series-1 (#30)",read,I enjoyed this quite a bit. Obvious why Spielberg wanted it - it read like a movie. I felt the same way about Timeline - I hope that this movie turns out better than that one did.,,,,,,0,,,,,
18189867,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",Davina Porter,"=""1470360578""","=""9781470360573""",3,4.20,Recorded Books,Audiobook,33,1997,1991,2014/03/24,2011/09/03,"g-time-travel, z-len-20-40-hours, z-read-src-un, z-series-1","g-time-travel (#16), z-len-20-40-hours (#19), z-read-src-un (#22), z-series-1 (#29)",read,"Didn't think that I was going to have the patience to finish this book. I've been looking forward to reading it for quite awhile, and when a friend (hi Devon :D ) started gushing about it, I bumped it up in my read priority. I'd just finished the first 3 Song of Fire and Ice books, so my mind was already in this quasi-fantasy mindset. However, this book is definitely NOT Game of Thrones. The pacing is oh so much slower and the characters not as compelling as most in that series. <br/>It took me about half the book before I finally realized what the main issue was: the audiobook narrator was SOOOOOO slow. I switched to 2x speed and it greatly helped the pace without sacrificing very much, if any, comprehension. I frequently switch between ebook and audiobook versions, and the audiobook really frustrated me at 1x speed.<br/>As far as the story, I was hoping that there would be more time travel elements, and I think that this book assumes a certain minimum familiarity with 18th Century English/Scottish/French history, as there were more than a few offhand remarks that obviously were supposed to MEAN SOMETHING; for instance: references to people being Jacobites. That term really meant almost nothing to me and pretty much was not explained.<br/>Overall, it was a good book, and I'm glad that I stuck it out, as the last third of the book was much more interesting.",,Length: 32 hrs and 43 mins<br/>Narrated By Davina Porter,,,,0,,,,,
11522422,The Postmortal,Drew Magary,"Magary, Drew",,"=""1101543744""","=""9781101543740""",0,3.79,Penguin Books,ebook,384,2011,2011,,2011/09/01,"to-read, g-post-apocalyptic, ab-meta-exists, ab-src-audible-av, z-len-10-20-hours, ku-undetermined","to-read (#60), g-post-apocalyptic (#18), ab-meta-exists (#84), ab-src-audible-av (#82), z-len-10-20-hours (#29), ku-undetermined (#14)",to-read,,,Length: 10 hrs and 58 mins<br/>Narrated By Johnny Heller<br/>,,,,0,,,,,
19486,In the Country of Last Things ,Paul Auster,"Auster, Paul",,"=""3425040847""","=""9783425040844""",0,3.90,,,188,,1987,,2011/08/30,"to-read, g-dystopia, ab-src-audible-av, ab-meta-exists, ku-undetermined","to-read (#59), g-dystopia (#2), ab-src-audible-av (#62), ab-meta-exists (#64), ku-undetermined (#13)",to-read,,,,,,,0,,,,,
941731,The Death of Grass,John Christopher,"Christopher, John",,"=""0722122977""","=""9780722122976""",0,3.87,Sphere (London),Paperback,222,1982,1956,,2011/08/30,"to-read, g-post-apocalyptic, eb-acquired, eb-db, zz-ab-meta-none-all-dates, zz-ab-meta-none-201608","to-read (#58), g-post-apocalyptic (#22), eb-acquired (#4), eb-db (#2), zz-ab-meta-none-all-dates (#6), zz-ab-meta-none-201608 (#4)",to-read,,,,,,,0,,,,,
85867,Dhalgren,Samuel R. Delany,"Delany, Samuel R.",,"=""0375706682""","=""9780375706684""",0,3.80,Vintage,Paperback,801,2001,1974,,2011/08/30,"to-read, z-meta-short-list-unacquired, z-len-20-40-hours, ab-meta-exists, ku-no, eb-acquired, g-post-apocalyptic","to-read (#57), z-meta-short-list-unacquired (#19), z-len-20-40-hours (#44), ab-meta-exists (#340), ku-no (#187), eb-acquired (#42), g-post-apocalyptic (#173)",to-read,,,Length: 34 hrs and 36 mins<br/>Narrated By Stefan Rudnicki<br/>,,,,0,,,,,
1655668,Go-Go Girls of the Apocalypse,Victor Gischler,"Gischler, Victor",,"=""1416552251""","=""9781416552253""",0,3.73,Touchstone,Paperback,324,2008,2008,,2011/08/30,"to-read, ab-meta-exists, g-post-apocalyptic, z-meta-short-list-unacquired, ab-src-audible-av, z-len-05-10-hours, ku-undetermined","to-read (#56), ab-meta-exists (#89), g-post-apocalyptic (#93), z-meta-short-list-unacquired (#12), ab-src-audible-av (#87), z-len-05-10-hours (#32), ku-undetermined (#12)",to-read,,,Length: 08 hrs and 49 mins<br/>Narrated By Scott Sowers,,,,0,,,,,
86236,Into the Forest,Jean Hegland,"Hegland, Jean",,"=""0553379615""","=""9780553379617""",0,3.79,Dial Press Trade Paperback,Paperback,256,1998,1996,,2011/08/30,"to-read, g-post-apocalyptic, ab-meta-exists, ab-src-audible-av, ku-undetermined","to-read (#55), g-post-apocalyptic (#89), ab-meta-exists (#67), ab-src-audible-av (#65), ku-undetermined (#11)",to-read,,,,,,,0,,,,,
530965,The Day of the Triffids,John Wyndham,"Wyndham, John",,"=""0812967127""","=""9780812967128""",0,3.99,Modern Library,Paperback,228,2003,1951,,2011/08/30,"to-read, ab-meta-exists, ab-src-audible-av, z-len-05-10-hours, ku-yes, g-post-apocalyptic, z-series-1","to-read (#54), ab-meta-exists (#37), ab-src-audible-av (#21), z-len-05-10-hours (#31), ku-yes (#37), g-post-apocalyptic (#174), z-series-1 (#234)",to-read,,,Length: 07 hrs and 37 mins<br/>Narrated By Graeme Malcolm,,,,0,,,,,
8148686,The Postman,David Brin,"Brin, David",,"=""""","=""""",3,3.87,,Kindle Edition,339,,1985,2016/03/27,2011/08/30,"g-post-apocalyptic, z-read-src-amazon","g-post-apocalyptic (#26), z-read-src-amazon (#1)",read,"Despite my relatively modest review, I really enjoyed this book. I have no recollection of ever seeing the Kevin Costner movie based on it, but I'll probably seek it out now. The book depicted (to me) a realistic picture of life almost 2 decades after the collapse of civilization. There's no zombies here, no supernatural influence. Just the horror of stronger people taking advantage of others not able to stand up for themselves. And that is every bit as terrifying as zombies and ghosts. <br/>I dinged the rating a bit because I thought that the book slogged down some in the middle, and I also thought that the view pretty much by all the characters regarding the weakness of women was a bit too simplistic. This book only came out in the mid-90's, so, while this might have been understandable in an older book from the mid-century, it was just too distracting at the surprise felt when a woman exhibited any strength of character.",,,,,,0,,,,,
46756,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"Atwood, Margaret",,"=""0385721676""","=""9780385721677""",1,3.99,Anchor,Paperback,400,2004,2003,,2011/08/30,"did-not-finish, z-series-1","did-not-finish (#3), z-series-1 (#28)",did-not-finish,,,,,,,0,,,,,
11557,Swan Song,Robert McCammon,"McCammon, Robert",,"=""0671741039""","=""9780671741037""",0,4.28,Pocket Books,Mass Market Paperback,956,1987,1987,,2011/08/30,"g-post-apocalyptic, did-not-finish","g-post-apocalyptic (#37), did-not-finish (#8)",did-not-finish,,,,,,,0,,,,,
